Address,Category,SubCategory,Name,Url,UrlImage,Price,PriceWithoutDiscount
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Маска для лица Чёрный Жемчуг лифтинг-эффект, для лица и шеи, тканевая, 1 шт.",https://samokat.ru/product/1e314dc1-36e1-11eb-859a-1c34dae33151,https://cm.samokat.ru/processed/m/product_card/ae6b6bcc-d34d-4b1f-903d-ef446be6d771.jpg,111,185
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Маска для лица Holika Holika Pure Essence Mask Sheet, освежающая, тканевая, клубника, 1 шт.",https://samokat.ru/product/369bc877-ff29-11eb-85ad-1c34dae33151,https://cm.samokat.ru/processed/m/product_card/2a434765-469a-47d5-8c2d-18b629559720.jpg,148,148
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Маска для лица Чистая линия, идеальная кожа, для всех типов кожи, тканевая, 1 шт.",https://samokat.ru/product/428a50e8-0651-11eb-8599-1c34dae33151,https://cm.samokat.ru/processed/m/original/149306_943644733.jpg,62,104
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Патчи Natura Siberica LAB Biome, гиалуроновые, увлажняющие, для области вокруг глаз, 60 шт.",https://samokat.ru/product/3ac4ab7e-c2b4-11eb-85ab-1c34dae33151,https://cm.samokat.ru/processed/m/public/c87c57c703ffea46_4630079566747-3.jpg,349,349
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Набор патчей для лица Professor Skingood Morning Coffein Fabric тканевые, 30 шт.",https://samokat.ru/product/nabor-patchej-dlya-lica-professor-skingood-morning-coffein-fabric-tkanevye-30-sht,https://cm.samokat.ru/processed/m/public/841e32873bc25557_4602006311447.jpg,279,279
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Маска для лица Чистая линия Идеальная кожа тканевая, ультра-увлажнение и восстановление, 1 шт.",https://samokat.ru/product/c93ecbce-5064-11ed-885a-08c0eb32014b,https://cm.samokat.ru/processed/m/public/8feec6ac1a20e6d8_8714100829516-1.jpg,83,138
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Набор масок для лица Professor Skingood Spa Holidays Marine Collagen тканевые, увлажняющие, 7 шт.",https://samokat.ru/product/35ae8860-70b5-11ed-b107-08c0eb31fffb,https://cm.samokat.ru/processed/m/public/d2984534448a7151_4602006311386.jpg,586,586
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Полоски для носа Professor Skingood очищающие, 6 шт.",https://samokat.ru/product/9f2ddf83-413e-11ec-a0ee-ec0d9a21b021,https://cm.samokat.ru/processed/m/public/78ad6ecf153ea3f2_4602006311423.jpg,212,455
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Маска для лица Skin tune Молодость и сияние тканевая, 1 шт.",https://samokat.ru/product/bb6d9834-fedd-11ed-885e-08c0eb32014b,https://cm.samokat.ru/processed/m/public/5d56884e6ea1e277_4620174800471.jpeg,69,69
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Маска для лица Skin tune Увлажнение и свежесть тканевая, 1 шт.",https://samokat.ru/product/maska-dlya-lica-skin-tune-uvlazhnenie-i-svezhest-tkanevaya-1-sht,https://cm.samokat.ru/processed/m/public/2da96d5cf1567caf_4620174800440.jpeg,69,69
